IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP58;IP_PROP57;IP_PROP59;IC_GROUP0;IC_GROUP1;IC_GROUP2
1229;О проекте конституционного закона Республики Тыва «О внесении изменения в статью 1 Конституционного закона Республики Тыва «Об Уполномоченном по правам человека в Республике Тыва»;1229;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1026-ПВХ;/upload/iblock/a1a/1026-ПВХ.pdf;;;
1230;О Конституционном законе Республики Тыва «О внесении изменения в статью 1 Конституционного закона Республики Тыва «Об Уполномоченном по правам человека в Республике Тыва»;1230;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1027-ПВХ;/upload/iblock/921/1027-ПВХ.pdf;;;
1231;О проекте конституционного закона Республики Тыва «О возложении на Уполномоченного по правам человека в Республике Тыва функций Уполномоченного по правам ребенка в Республике Тыва»;1231;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1028-ПВХ;/upload/iblock/13a/1028-ПВХ.pdf;;;
1232;О Конституционном законе Республики Тыва «О возложении на Уполномоченного по правам человека в Республике Тыва функций Уполномоченного по правам ребенка в Республике Тыва»;1232;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1029-ПВХ;/upload/iblock/1c9/1029-ПВХ.pdf;;;
1233;О проекте закона Республики Тыва «О внесении изменения в статью 1 Закона Республики Тыва «Об Уполномоченном по правам ребенка в Республике Тыва»;1233;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1030-ПВХ;/upload/iblock/414/1030-ПВХ.pdf;;;
1234;0 Законе Республики Тыва «О внесении изменения в статью 1 Закона Республики Тыва «Об Уполномоченном по правам ребенка в Республике Тыва»;1234;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1031-ПВХ;/upload/iblock/01f/1031-ПВХ.pdf;;;
1235;О проекте закона Республики Тыва «О внесении изменения в статью 6 Закона Республики Тыва «О бюджете Территориального фонда обязательного медицинского страхования Республики Тыва на 2016 год»;1235;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1032-ПВХ;/upload/iblock/6fc/1032.pdf;;;
1236;О Законе Республики Тыва «О внесении изменения в статью 6 Закона Республики Тыва «О бюджете Территориального фонда обязательного медицинского страхования Республики Тыва на 2016 год»;1236;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1033-ПВХ;/upload/iblock/fec/1033-ПВХ.pdf;;;
1237;О проекте закона Республики Тыва «О внесении изменений в статью 5 Закона Республики Тыва «Об инновационной деятельности в Республике Тыва»;1237;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1034-ПВХ;/upload/iblock/755/1034-ПВХ.pdf;;;
1238;О проекте закона Республики Тыва «О внесении изменений в Закон Республики Тыва «Об инновационной деятельности в Республике Тыва» («О внесении изменений в статью 5 Закона Республики Тыва «Об инновационной деятельности в Республике Тыва»);1238;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1035-ПВХ;/upload/iblock/86c/1035-ПВХ.pdf;;;
1239;О Законе Республики Тыва «О внесении изменений в Закон Республики Тыва «Об инновационной деятельности в Республике Тыва»;1239;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1036-ПВХ;/upload/iblock/ffd/1036-ПВХ.pdf;;;
1240;О проекте закона Республики Тыва «Об особенностях рассмотрения проектов законов Республики Тыва о республиканском бюджете Республики Тыва на 2017 год и на плановый период 2018 и 2019 годов и бюджете территориального государственного внебюджетного фонда на;1240;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1037-ПВХ;/upload/iblock/061/1037-ПВХ.pdf;;;
1241;О проекте закона Республики Тыва «Об особенностях рассмотрения проекта закона о республиканском бюджете Республики Тыва на 2017 год и на плановый период 2018 и 2019 годов и проекта закона о бюджете территориального государственного внебюджетного фонда на ;1241;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1038-ПВХ;/upload/iblock/b81/1038-ПВХ.pdf;;;
1242;О Законе Республики Тыва «Об особенностях рассмотрения проекта закона о республиканском бюджете Республики Тыва на 2017 год и на плановый период 2018 и 2019 годов и проекта закона о бюджете территориального государственного внебюджетного фонда на 2017 год;1242;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1039-ПВХ;/upload/iblock/ba4/1039-ПВХ.pdf;;;
1243;О проекте закона Республики Тыва «О внесении изменений в Закон Республики Тыва «О государственной социальной помощи отдельным категориям граждан»;1243;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1040-ПВХ;/upload/iblock/300/1040-ПВХ.pdf;;;
1244;О Законе Республики Тыва «О внесении изменений в Закон Республики Тыва «О государственной социальной помощи отдельным категориям граждан»;1244;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1041-ПВХ;/upload/iblock/c01/1041-ПВХ.pdf;;;
1245;О проекте закона Республики Тыва «О внесении изменений в Закон Республики Тыва «О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей»;1245;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1042-ПВХ;/upload/iblock/9ad/1042-ПВХ.pdf;;;
1246;О Законе Республики Тыва «О внесении изменений в Закон Республики Тыва «О дополнительных гарантиях по социальной поддержке детей-сирот и детей, оставшихся без попечения родителей»;1246;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1043-ПВХ;/upload/iblock/763/1043-ПВХ.pdf;;;
1247;О Законе Республики Тыва «О старостах сельских населенных пунктов в Республике Тыва»;1247;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1044-ПВХ;/upload/iblock/7f1/1044-ПВХ.pdf;;;
1248;О Законе Республики Тыва «О внесении изменений в статьи 6 и 13 Закона Республики Тыва «О гарантиях осуществления полномочий депутата представительного органа муниципального образования, выборного должностного лица местного самоуправления в Республике Тыва;1248;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1045-ПВХ;/upload/iblock/c05/1045-ПВХ.pdf;;;
1249;О Законе Республики Тыва «О внесении изменений в Закон Республики Тыва «О свободе совести и религиозных организациях»;1249;Y;04.10.2016 20:00:00;;;;text;;;text;;500;;05.10.2016;1046-ПВХ;/upload/iblock/0a6/1046-ПВХ.pdf;;;
